Player,Nation,Squad,Age,Min,ATK,Go,Ast,Touches,Interceptions,YellowCard
Banhie Zoukrou,FRA,Troyes,19.0,77,0.0,0,0,33,2,1
Kurt Zouma,FRA,West Ham,27.0,2078,0.04,1,0,1205,47,1
Ragnar Ache,GER,Eint Frankfurt,23.0,259,0.34,0,1,129,0,0
Nadiem Amiri,GER,Genoa,25.0,683,0.13,0,1,411,5,0
Nadiem Amiri,GER,Leverkusen,25.0,369,0.24,1,0,280,5,0
Robert Andrich,GER,Leverkusen,27.0,1817,0.30000000000000004,4,2,1225,46,5
Waldemar Anton,GER,Stuttgart,25.0,2595,0.1,2,1,2165,66,6
Maximilian Arnold,GER,Wolfsburg,28.0,2994,0.18,4,2,2139,68,4
Tolgay Arslan,GER,Udinese,31.0,1658,0.05,1,0,879,32,9
Simon Asta,GER,Greuther Fürth,21.0,783,0.0,0,0,486,26,1
Ridle Baku,GER,Wolfsburg,24.0,2446,0.29,3,5,1704,40,4
Maximilian Bauer,GER,Greuther Fürth,22.0,1690,0.0,0,0,1087,46,5
Oliver Baumann,GER,Hoffenheim,31.0,2970,0.0,0,0,1604,0,1
Timo Baumgartl,GER,Union Berlin,26.0,2166,0.12,1,2,1432,44,5
Kevin Behrens,GER,Union Berlin,31.0,499,0.72,2,2,275,6,1
Stefan Bell,GER,Mainz 05,30.0,2864,0.06,2,0,1823,66,9
Armel Bella Kotchap,GER,Bochum,20.0,1768,0.0,0,0,1006,64,5
Karim Bellarabi,GER,Leverkusen,32.0,683,0.65,3,2,377,8,2
Louis Beyer,GER,M'Gladbach,22.0,1384,0.0,0,0,1112,26,5
Tom Bischof,GER,Hoffenheim,16.0,14,0.0,0,0,9,0,0
Danny Blum,GER,Bochum,31.0,346,0.53,2,0,225,5,0
Jérôme Boateng,GER,Lyon,33.0,1622,0.06,0,1,1260,34,6
Herbert Bockhorn,GER,Bochum,27.0,850,0.0,0,0,515,26,1
Tarsis Bonga,GER,Bochum,25.0,17,0.0,0,0,16,2,0
Julian Brandt,GER,Dortmund,26.0,2078,0.74,9,8,1593,25,3
Fabian Bredlow,GER,Stuttgart,27.0,360,0.0,0,0,141,0,0
Daniel Brosinski,GER,Mainz 05,33.0,390,0.0,0,0,278,6,0
Sascha Burchert,GER,Greuther Fürth,32.0,1260,0.0,0,0,603,0,0
Jonathan Burkardt,GER,Mainz 05,21.0,2611,0.48,11,3,1039,16,0
Emre Can,GER,Dortmund,28.0,1690,0.32,5,1,1617,44,5
Gonzalo Castro,GER,Arminia,34.0,436,0.42,1,1,220,3,0
Julian Chabot,GER,Sampdoria,24.0,490,0.0,0,0,321,12,5
Julian Chabot,GER,Köln,24.0,209,0.0,0,0,183,5,1
Max Christiansen,GER,Greuther Fürth,25.0,2054,0.0,0,0,1223,81,5
Lucas Copado,GER,Bayern Munich,18.0,16,0.0,0,0,6,0,0
Danny da Costa,GER,Eint Frankfurt,28.0,725,0.0,0,0,407,18,2
Rafael Czichos,GER,Köln,32.0,1402,0.06,0,1,1209,38,4
Lennart-Marten Czyborra,GER,Arminia,23.0,131,0.0,0,0,67,6,1
Finn Dahmen,GER,Mainz 05,24.0,180,0.0,0,0,83,0,0
Mahmoud Dahoud,GER,Dortmund,26.0,1658,0.27,2,3,1273,31,7
Márton Dárdai,GER,Hertha BSC,20.0,755,0.12,0,1,471,16,2
Kerem Demirbay,GER,Leverkusen,28.0,2049,0.22,1,4,1682,51,10
Diego Demme,GER,Napoli,30.0,692,0.13,1,0,663,12,4
Daniel Didavi,GER,Stuttgart,32.0,277,0.32,0,1,147,1,1
Niklas Dorsch,GER,Augsburg,24.0,2324,0.04,1,0,1376,64,8
Julian Draxler,GER,Paris S-G,28.0,548,0.49,2,1,348,4,0
Erik Durm,GER,Eint Frankfurt,30.0,474,0.19,0,1,325,11,1
Maximilian Eggestein,GER,Freiburg,25.0,2194,0.12,1,2,1219,34,2
Lilian Egloff,GER,Stuttgart,19.0,31,0.0,0,0,18,0,0
Julian Eitschberger,GER,Hertha BSC,18.0,45,0.0,0,0,41,1,0
Michael Esser,GER,Bochum,34.0,270,0.0,0,0,143,0,0
Adrian Fein,GER,Greuther Fürth,23.0,32,0.0,0,0,12,2,0
Ohis Felix Uduokhai,GER,Augsburg,24.0,787,0.0,0,0,511,19,1
Philipp Förster,GER,Stuttgart,27.0,967,0.28,2,1,561,10,4
Raphael Framberger,GER,Augsburg,26.0,848,0.0,0,0,561,10,3
Marvin Friedrich,GER,Union Berlin,26.0,1169,0.0,0,0,777,31,4
Marvin Friedrich,GER,M'Gladbach,26.0,600,0.0,0,0,535,10,1
Christian Früchtl,GER,Bayern Munich,22.0,10,0.0,0,0,3,0,0
Chris Führich,GER,Stuttgart,24.0,1714,0.27,3,2,918,20,3
Marius Funk,GER,Greuther Fürth,26.0,720,0.0,0,0,389,0,0
Stephan Fürstner,GER,Mainz 05,34.0,5,0.0,0,0,3,0,0
Linus Gechter,GER,Hertha BSC,18.0,716,0.13,1,0,462,18,0
Dennis Geiger,GER,Hoffenheim,23.0,1377,0.26,2,2,923,28,6
Yannick Gerhardt,GER,Wolfsburg,28.0,1574,0.23,1,3,1032,31,2
Niko Gießelmann,GER,Union Berlin,30.0,2083,0.39,3,6,1366,22,3
Daniel Ginczek,GER,Wolfsburg,31.0,13,0.0,0,0,9,0,0
Matthias Ginter,GER,M'Gladbach,28.0,2355,0.04,1,0,2025,46,2
Serge Gnabry,GER,Bayern Munich,26.0,2185,0.7899999999999999,14,5,1658,26,0
Leon Goretzka,GER,Bayern Munich,27.0,1396,0.38,3,3,1067,33,0
Robin Gosens,GER,Atalanta,27.0,460,0.2,1,0,311,11,2
Robin Gosens,GER,Inter,27.0,169,0.53,0,1,131,2,1
Jens Grahl,GER,Eint Frankfurt,33.0,90,0.0,0,0,32,0,0
Sebastian Griesbeck,GER,Union Berlin,31.0,9,0.0,0,0,2,0,0
Sebastian Griesbeck,GER,Greuther Fürth,31.0,2439,0.04,1,0,1171,62,7
Lennart Grill,GER,Leverkusen,23.0,90,0.0,0,0,48,0,0
Pascal Groß,GER,Brighton,30.0,2038,0.27,2,4,1508,16,1
Manuel Gulde,GER,Freiburg,31.0,1225,0.0,0,0,694,24,2
Ýlkay Gündoðan,GER,Manchester City,31.0,1857,0.5800000000000001,8,4,1514,27,1
Christian Günter,GER,Freiburg,29.0,3060,0.32,2,9,1928,30,2
Koray Günter,GER,Hellas Verona,27.0,2411,0.0,0,0,1538,67,10
Lasse Günther,GER,Augsburg,19.0,161,0.0,0,0,88,3,1
Janik Haberer,GER,Freiburg,28.0,818,0.33,3,0,438,17,1
Alexander Hack,GER,Mainz 05,28.0,2074,0.17,3,1,1415,55,6
Robin Hack,GER,Arminia,23.0,1364,0.2,0,3,714,15,2
André Hahn,GER,Augsburg,31.0,2101,0.3,5,2,752,25,5
Marcel Halstenberg,GER,RB Leipzig,30.0,507,0.18,1,0,468,9,0
Luis Hartwig,GER,Bochum,19.0,2,0.0,0,0,0,0,0
Kai Havertz,GER,Chelsea,22.0,1809,0.55,8,3,975,6,3
Jonas Hector,GER,Köln,32.0,2553,0.21,0,6,2000,64,3
Dominique Heintz,GER,Union Berlin,28.0,467,0.0,0,0,313,14,0
Dominique Heintz,GER,Freiburg,28.0,29,0.0,0,0,24,1,0
Benjamin Henrichs,GER,RB Leipzig,25.0,1143,0.48,3,3,881,27,3
Patrick Herrmann,GER,M'Gladbach,31.0,754,0.48,0,4,464,8,1
Nicolas Höfler,GER,Freiburg,32.0,2600,0.21000000000000002,2,4,1514,46,5
Jonas Hofmann,GER,M'Gladbach,29.0,2078,0.74,12,5,1535,28,1
Lucas Höler,GER,Freiburg,27.0,2583,0.31,7,2,1320,22,2
Jannes Horn,GER,Köln,25.0,478,0.0,0,0,358,5,2
Timo Horn,GER,Köln,29.0,1170,0.0,0,0,552,0,0
Timo Hübers,GER,Köln,25.0,1740,0.05,1,0,1500,76,7
Benjamin Hübner,GER,Hoffenheim,32.0,375,0.24,1,0,308,5,2
Mats Hummels,GER,Dortmund,33.0,1765,0.15000000000000002,1,2,1718,58,4
Gian-Luca Itter,GER,Greuther Fürth,23.0,1455,0.06,0,1,993,35,3
Paul Jaeckel,GER,Union Berlin,23.0,2047,0.0,0,0,1392,75,5
Ismail Jakobs,GER,Monaco,22.0,1203,0.07,0,1,1060,25,1
Vitaly Janelt,GER,Brentford,24.0,2298,0.16,4,0,1259,44,3
Tony Jantschke,GER,M'Gladbach,32.0,225,0.0,0,0,141,2,0
Moritz Jenz,GER,Lorient,23.0,1381,0.07,1,0,856,33,5
Marco John,GER,Hoffenheim,20.0,42,0.0,0,0,19,2,0
Gideon Jung,GER,Greuther Fürth,27.0,142,0.0,0,0,70,1,0
Anton Kade,GER,Hertha BSC,18.0,77,0.0,0,0,48,3,0
Felix Kalu Nmecha,GER,Wolfsburg,21.0,323,0.0,0,0,200,8,2
Atakan Karazor,GER,Stuttgart,25.0,1898,0.05,0,1,1312,44,9
Noah Katterbach,GER,Köln,21.0,16,0.0,0,0,13,0,0
Thilo Kehrer,GER,Paris S-G,25.0,1513,0.12,2,0,1348,30,0
Yannik Keitel,GER,Freiburg,22.0,504,0.0,0,0,248,8,1
Marc-Oliver Kempf,GER,Hertha BSC,27.0,1051,0.09,0,1,564,37,1
Marc-Oliver Kempf,GER,Stuttgart,27.0,840,0.32,3,0,702,18,2
Rani Khedira,GER,Union Berlin,28.0,2757,0.03,0,1,1235,48,6
Luca Kilian,GER,Mainz 05,22.0,1,0.0,0,0,0,0,0
Luca Kilian,GER,Köln,22.0,2281,0.04,1,0,1635,64,3
Joshua Kimmich,GER,Bayern Munich,27.0,2474,0.44,3,9,2864,64,4
Philipp Klement,GER,Stuttgart,29.0,338,0.26,1,0,305,1,0
Mateo Klimowicz,GER,Stuttgart,21.0,603,0.15,0,1,263,3,2
Fabian Klos,GER,Arminia,34.0,1420,0.25,3,1,622,6,2
Lukas Klostermann,GER,RB Leipzig,25.0,1648,0.05,0,1,1251,41,1
Lukas Klünter,GER,Hertha BSC,26.0,194,0.0,0,0,112,2,1
Ansgar Knauff,GER,Eint Frankfurt,20.0,759,0.24,1,1,451,11,0
Ansgar Knauff,GER,Dortmund,20.0,114,0.0,0,0,63,0,0
Robin Knoche,GER,Union Berlin,30.0,2970,0.0,0,0,2049,81,6
Robin Koch,GER,Leeds United,25.0,1574,0.0,0,0,862,34,3
Dominik Kohr,GER,Mainz 05,28.0,1614,0.17,0,3,1035,36,10
Christoph Kramer,GER,M'Gladbach,31.0,748,0.0,0,0,572,14,1
Toni Kroos,GER,Real Madrid,32.0,2103,0.17,1,3,2418,17,4
Florian Krüger,GER,Arminia,23.0,1129,0.24,1,2,439,4,0
Max Kruse,GER,Wolfsburg,34.0,1128,0.64,7,1,597,6,0
Max Kruse,GER,Union Berlin,34.0,1270,0.63,5,4,604,9,1
Lukas Kübler,GER,Freiburg,29.0,2327,0.08,2,0,1520,64,2
Fabian Kunze,GER,Arminia,23.0,1260,0.0,0,0,671,29,9
Maxim Leitsch,GER,Bochum,24.0,1538,0.06,1,0,1010,52,2
Tim Lemperle,GER,Köln,20.0,149,1.18,2,0,90,1,0
Bernd Leno,GER,Arsenal,30.0,360,0.0,0,0,125,0,0
Christopher Lenz,GER,Eint Frankfurt,27.0,664,0.14,0,1,627,14,6
Jamie Leweling,GER,Greuther Fürth,21.0,1959,0.28,5,1,768,21,3
Eduard Löwen,GER,Bochum,25.0,1416,0.26,2,2,881,19,0
Andreas Luthe,GER,Union Berlin,35.0,2430,0.0,0,0,1069,0,3
Arne Maier,GER,Augsburg,23.0,1864,0.33999999999999997,1,6,1040,19,0
Roberto Massimo,GER,Stuttgart,21.0,877,0.21,2,0,432,12,0
Marco Meyerhöfer,GER,Greuther Fürth,26.0,2280,0.04,1,0,1523,68,0
Sven Michel,GER,Union Berlin,31.0,338,1.05,3,1,192,1,2
Maximilian Mittelstädt,GER,Hertha BSC,25.0,1493,0.3,0,5,1040,60,3
Kevin Möhwald,GER,Union Berlin,28.0,354,0.0,0,0,230,4,2
Youssoufa Moukoko,GER,Dortmund,17.0,223,0.8,2,0,84,0,1
Florian Müller,GER,Stuttgart,24.0,2700,0.0,0,0,1101,0,0
Thomas Müller,GER,Bayern Munich,32.0,2558,0.91,8,18,1788,23,0
Torben Müsel,GER,M'Gladbach,22.0,5,0.0,0,0,1,0,0
Jamal Musiala,GER,Bayern Munich,19.0,1465,0.62,5,5,1029,34,2
Shkodran Mustafi,GER,Levante,30.0,658,0.14,1,0,431,13,1
Paul Nebel,GER,Mainz 05,19.0,228,0.4,0,1,133,2,3
Luca Netz,GER,M'Gladbach,19.0,1396,0.26,0,4,763,25,1
Manuel Neuer,GER,Bayern Munich,36.0,2510,0.0,0,0,1283,0,0
Florian Neuhaus,GER,M'Gladbach,25.0,2121,0.34,4,4,1440,47,2
Jessic Ngankam,GER,Greuther Fürth,21.0,341,0.79,2,1,91,2,0
Florian Niederlechner,GER,Augsburg,31.0,1165,0.62,5,3,384,3,1
Lukas Nmecha,GER,Wolfsburg,23.0,1627,0.44,8,0,674,7,5
Alexander Nübel,GER,Monaco,25.0,3420,0.0,0,0,1182,0,1
Bastian Oczipka,GER,Union Berlin,33.0,932,0.1,0,1,669,20,1
Stefan Ortega,GER,Arminia,29.0,2970,0.0,0,0,1841,0,1
Patrick Osterhage,GER,Bochum,22.0,599,0.15,0,1,276,15,2
Levin Öztunalý,GER,Union Berlin,26.0,572,0.0,0,0,271,7,0
Antonios Papadopoulos,GER,Dortmund,22.0,17,0.0,0,0,13,0,1
Matondo-Merveille Papela,GER,Mainz 05,21.0,83,0.0,0,0,44,3,0
Felix Passlack,GER,Dortmund,24.0,472,0.19,1,0,424,2,0
Philipp Pentke,GER,Hoffenheim,37.0,90,0.0,0,0,43,0,0
Nils Petersen,GER,Freiburg,33.0,580,0.9400000000000001,5,1,227,4,0
Maximilian Philipp,GER,Wolfsburg,28.0,963,0.45999999999999996,1,4,453,10,2
Amos Pieper,GER,Arminia,24.0,2379,0.0,0,0,1462,63,2
Marvin Plattenhardt,GER,Hertha BSC,30.0,1637,0.16,0,3,1100,23,3
Julian Pollersbeck,GER,Lyon,27.0,436,0.0,0,0,185,0,0
Sebastian Polter,GER,Bochum,31.0,2341,0.42,10,1,793,8,2
Grischa Prömel,GER,Union Berlin,27.0,2422,0.33999999999999997,8,1,1251,44,4
Nick Proschwitz,GER,Hoffenheim,35.0,27,0.0,0,0,7,0,0
Sidney Raebiger,GER,RB Leipzig,17.0,4,0.0,0,0,0,0,0
Diant Ramaj,GER,Eint Frankfurt,20.0,90,0.0,0,0,46,0,0
Tobias Raschl,GER,Greuther Fürth,22.0,597,0.15,0,1,343,9,0
David Raum,GER,Hoffenheim,24.0,2757,0.45999999999999996,3,11,2307,45,5
Marco Reus,GER,Dortmund,32.0,2503,0.79,9,13,1613,24,2
Elvis Rexhbeçaj,GER,Bochum,24.0,2542,0.0,0,0,1147,38,5
Marco Richter,GER,Hertha BSC,24.0,1704,0.31,5,1,882,28,6
Manuel Riemann,GER,Bochum,33.0,2790,0.03,0,1,1724,1,2
Cimo Röcker,GER,Hertha BSC,28.0,22,0.0,0,0,22,1,0
Sebastian Rode,GER,Eint Frankfurt,31.0,759,0.12,1,0,512,15,1
Romario Rösch,GER,Mainz 05,22.0,1,0.0,0,0,0,0,0
Tom Rothe,GER,Dortmund,17.0,94,1.0,1,0,78,1,1
Antonio Rüdiger,GER,Chelsea,29.0,3035,0.09,3,0,2762,43,9
Sebastian Rudy,GER,Hoffenheim,32.0,773,0.47,3,1,507,11,5
Lukas Rupp,GER,Norwich City,31.0,769,0.0,0,0,497,17,0
Abdelhamid Sabiri,GER,Sampdoria,25.0,893,0.5,3,2,493,8,3
Lazar Samardzic,GER,Udinese,20.0,490,0.74,2,2,343,4,0
Leroy Sané,GER,Bayern Munich,26.0,1976,0.64,7,7,1350,24,3
Kevin Schade,GER,Freiburg,20.0,831,0.54,4,1,365,9,2
Kingsley Schindler,GER,Köln,28.0,349,0.77,1,2,233,7,1
Keven Schlotterbeck,GER,Freiburg,25.0,315,0.0,0,0,175,12,1
Nico Schlotterbeck,GER,Freiburg,22.0,2785,0.16,4,1,2175,80,5
Benno Schmitz,GER,Köln,27.0,2421,0.19,0,5,1921,53,5
Nico Schulz,GER,Dortmund,29.0,836,0.22,0,2,761,20,2
Marvin Schwäbe,GER,Köln,27.0,1890,0.0,0,0,1054,0,1
Alexander Schwolow,GER,Hertha BSC,29.0,2175,0.0,0,0,904,1,1
Paul Seguin,GER,Greuther Fürth,27.0,2108,0.13,0,3,1354,40,9
Davie Selke,GER,Hertha BSC,27.0,1004,0.36,4,0,373,2,2
Lion Semi?,GER,Dortmund,18.0,3,0.0,0,0,0,0,0
Suat Serdar,GER,Hertha BSC,25.0,2218,0.12,3,0,954,40,6
Janni Serra,GER,Arminia,24.0,1117,0.4,3,2,475,8,1
Nils Seufert,GER,Greuther Fürth,25.0,99,0.0,0,0,37,1,0
Tobias Sippel,GER,M'Gladbach,34.0,90,0.0,0,0,48,0,0
Anton Stach,GER,Mainz 05,23.0,1861,0.33999999999999997,1,6,1286,72,6
Niklas Stark,GER,Hertha BSC,27.0,2031,0.04,1,0,1273,43,3
Pascal Stenzel,GER,Stuttgart,26.0,899,0.0,0,0,775,23,1
Angelo Stiller,GER,Hoffenheim,21.0,1693,0.16,2,1,1131,30,1
Lars Stindl,GER,M'Gladbach,33.0,1629,0.5,4,5,1003,16,10
Tobias Strobl,GER,Augsburg,32.0,323,0.0,0,0,135,8,1
Niklas Süle,GER,Bayern Munich,26.0,1837,0.15000000000000002,1,2,1910,36,2
Jonathan Tah,GER,Leverkusen,26.0,2878,0.12,2,2,2242,67,4
Niklas Tauer,GER,Mainz 05,21.0,487,0.0,0,0,265,16,1
Marc-André ter Stegen,GER,Barcelona,30.0,3150,0.0,0,0,1340,0,3
Robert Tesche,GER,Bochum,35.0,349,0.0,0,0,202,8,2
Cedric Teuchert,GER,Union Berlin,25.0,105,0.0,0,0,48,1,0
Jan Thielmann,GER,Köln,20.0,1192,0.46,3,3,615,21,6
Erik Thommy,GER,Stuttgart,27.0,274,0.0,0,0,165,3,0
Steffen Tigges,GER,Dortmund,23.0,112,2.5,3,0,73,1,0
Malik Tillman,GER,Bayern Munich,20.0,104,0.0,0,0,64,4,0
Timothy Tillman,GER,Greuther Fürth,23.0,2004,0.13,1,2,1024,34,3
Umut Tohumcu,GER,Hoffenheim,17.0,5,0.0,0,0,1,0,0
Jeremy Toljan,GER,Sassuolo,27.0,1399,0.06,0,1,990,22,2
Jordan Torunarigha,GER,Hertha BSC,24.0,483,0.19,0,1,296,19,1
Kevin Trapp,GER,Eint Frankfurt,31.0,2880,0.0,0,0,1334,0,2
Philipp Tschauner,GER,RB Leipzig,36.0,3,0.0,0,0,0,0,0
Sven Ulreich,GER,Bayern Munich,33.0,540,0.0,0,0,245,0,0
Benjamin Uphoff,GER,Freiburg,28.0,180,0.0,0,0,96,0,0
Mark Uth,GER,Köln,30.0,2025,0.58,5,8,1096,26,3
Andreas Voglsammer,GER,Union Berlin,30.0,882,0.30000000000000004,2,1,366,1,1
Kevin Vogt,GER,Hoffenheim,30.0,2569,0.07,0,2,2381,30,7
Kevin Volland,GER,Monaco,29.0,2436,0.66,9,9,907,9,10
Luca Waldschmidt,GER,Wolfsburg,26.0,717,0.13,1,0,343,10,2
Paul Wanner,GER,Bayern Munich,16.0,39,0.0,0,0,26,0,0
Noah Weißhaupt,GER,Freiburg,20.0,97,0.0,0,0,60,4,0
Timo Werner,GER,Chelsea,26.0,1283,0.35000000000000003,4,1,562,4,1
Marten Winkler,GER,Hertha BSC,19.0,26,0.0,0,0,11,1,0
Florian Wirtz,GER,Leverkusen,19.0,1851,0.8300000000000001,7,10,1170,29,2
Marius Wolf,GER,Dortmund,27.0,1321,0.27,3,1,892,26,4
Luca Wollschläger,GER,Hertha BSC,19.0,16,0.0,0,0,12,0,0
Joscha Wosz,GER,RB Leipzig,19.0,9,0.0,0,0,5,0,0
Robin Zentner,GER,Mainz 05,27.0,2880,0.0,0,0,1098,0,1
Christoph Zimmermann,GER,Norwich City,29.0,157,0.0,0,0,82,3,0
Simon Zoller,GER,Bochum,30.0,596,0.75,3,2,199,3,3
Salis Abdul Samed,GHA,Clermont Foot,22.0,2462,0.04,1,0,1926,51,12
Felix Afena-Gyan,GHA,Roma,19.0,668,0.27,2,0,309,5,5
Joseph Aidoo,GHA,Celta Vigo,26.0,2637,0.0,0,0,1817,55,1
Emmanuel Amankwaa Akurugu,GHA,Getafe,20.0,79,1.11,0,1,48,0,0
Daniel Amartey,GHA,Leicester City,27.0,2123,0.0,0,0,1701,30,4
Ebenezer Annan,GHA,Bologna,19.0,25,0.0,0,0,13,2,0
Christopher Antwi-Adjei,GHA,Bochum,28.0,1130,0.16,1,1,478,7,2
Jordan Ayew,GHA,Crystal Palace,30.0,2019,0.26,3,3,1135,28,2
Iddrisu Baba,GHA,Mallorca,26.0,1934,0.09,2,0,1023,36,9
Kevin-Prince Boateng,GHA,Hertha BSC,35.0,696,0.0,0,0,427,8,8
Osman Bukari,GHA,Nantes,23.0,1012,0.54,2,4,463,20,1
Alexander Djiku,GHA,Strasbourg,27.0,2694,0.03,1,0,1940,80,10
Alfred Duncan,GHA,Fiorentina,29.0,1931,0.18,2,2,1107,23,3
Caleb Ekuban,GHA,Genoa,28.0,1716,0.15000000000000002,1,2,704,9,2
Tariqe Fosu,GHA,Brentford,26.0,17,0.0,0,0,10,0,0
Emmanuel Gyasi,GHA,Spezia,28.0,3035,0.18,6,0,1322,28,10
Abdul Majeed Waris,GHA,Strasbourg,30.0,327,0.56,2,0,186,2,1
Gideon Mensah,GHA,Bordeaux,23.0,1208,0.15,0,2,925,28,1
Kasim Nuhu,GHA,Hoffenheim,26.0,5,0.0,0,0,5,1,0
Hans Nunoo Sarpei,GHA,Greuther Fürth,23.0,643,0.0,0,0,402,15,2
Thomas Partey,GHA,Arsenal,28.0,2028,0.13,2,1,1426,33,6
Mohammed Salisu,GHA,Southampton,23.0,2972,0.0,0,0,2246,93,10
Jeffrey Schlupp,GHA,Crystal Palace,29.0,1851,0.24,4,1,971,25,1
Kamaldeen Sulemana,GHA,Rennes,20.0,1015,0.53,4,2,532,9,3
Sardar Azmoun,IRN,Leverkusen,27.0,359,0.5,1,1,151,2,0
Saman Ghoddos,IRN,Brentford,28.0,536,0.34,1,1,296,7,2
Takuma Asano,JPN,Bochum,27.0,1608,0.39,3,4,609,17,1
Keita Endo,JPN,Union Berlin,24.0,55,0.0,0,0,38,0,0
Wataru Endo,JPN,Stuttgart,29.0,2899,0.18,4,2,1994,59,4
Genki Haraguchi,JPN,Union Berlin,31.0,1755,0.41000000000000003,2,6,776,26,2
Makoto Hasebe,JPN,Eint Frankfurt,38.0,1187,0.0,0,0,1067,35,1
Hiroki Ito,JPN,Stuttgart,23.0,2348,0.08,1,1,2111,72,2
Daichi Kamada,JPN,Eint Frankfurt,25.0,2139,0.30000000000000004,4,3,1127,19,0
Eiji Kawashima,JPN,Strasbourg,39.0,90,0.0,0,0,31,0,0
Takefusa Kubo,JPN,Mallorca,20.0,1605,0.06,1,0,797,20,4
Takumi Minamino,JPN,Liverpool,27.0,186,1.43,3,0,99,3,1
Masaya Okugawa,JPN,Arminia,26.0,2531,0.32,8,1,796,43,0
Takehiro Tomiyasu,JPN,Bologna,23.0,10,0.0,0,0,7,1,0
Takehiro Tomiyasu,JPN,Arsenal,23.0,1679,0.05,0,1,1302,36,2
Maya Yoshida,JPN,Sampdoria,33.0,1823,0.25,2,3,1118,48,2
Néstor Araujo,MEX,Celta Vigo,30.0,2617,0.0,0,0,1777,53,4
Jesús Corona,MEX,Sevilla,29.0,1157,0.47,2,4,762,13,2
Andrés Guardado,MEX,Betis,35.0,1393,0.06,0,1,1097,28,4
Héctor Herrera,MEX,Atlético Madrid,32.0,859,0.0,0,0,778,16,4
Raúl Jiménez,MEX,Wolves,31.0,2631,0.35,6,4,1210,19,9
José Juan Macías,MEX,Getafe,22.0,201,0.0,0,0,77,0,1
Diego Lainez,MEX,Betis,21.0,140,0.0,0,0,78,0,0
Hirving Lozano,MEX,Napoli,26.0,1613,0.56,5,5,835,14,3
Orbelín Pineda,MEX,Celta Vigo,26.0,99,0.0,0,0,89,0,0
Johan Vásquez,MEX,Genoa,23.0,2279,0.04,1,0,1489,68,7
Yunis Abdelhamid,MAR,Reims,34.0,2983,0.06,2,0,1899,103,5
Nayef Aguerd,MAR,Rennes,26.0,2735,0.14,2,2,2468,54,3
Sofiane Alakouch,MAR,Metz,23.0,158,0.0,0,0,132,6,1
Sofyan Amrabat,MAR,Fiorentina,25.0,944,0.1,1,0,803,10,6
Aymen Barkok,MAR,Eint Frankfurt,24.0,160,0.0,0,0,104,3,0
Sofiane Boufal,MAR,Angers,28.0,2330,0.45999999999999996,8,4,1504,9,6
Yassine Bounou,MAR,Sevilla,31.0,2790,0.06,0,2,1138,0,2
Mehdi Bourabia,MAR,Spezia,30.0,282,0.32,1,0,161,6,0
Mehdi Chahiri,MAR,Strasbourg,25.0,16,0.0,0,0,10,0,0
Youssef En-Nesyri,MAR,Sevilla,24.0,1277,0.42,5,1,333,5,1
Abdessamad Ezzalzouli,MAR,Barcelona,20.0,580,0.16,1,0,308,11,4
Hamadi Al Ghaddioui,MAR,Stuttgart,31.0,498,0.72,2,2,175,0,2
Munir El Haddadi,MAR,Sevilla,26.0,474,0.38,2,0,211,8,3
Oualid El Hajjam,MAR,Troyes,31.0,1072,0.16,1,1,709,41,2
Achraf Hakimi,MAR,Paris S-G,23.0,2479,0.37,4,6,2096,45,3
Amine Harit,MAR,Marseille,24.0,1165,0.62,4,4,891,9,1
Oussama Idrissi,MAR,Sevilla,26.0,127,0.0,0,0,74,4,1
Oussama Idrissi,MAR,Cádiz,26.0,902,0.2,1,1,489,12,2
Sofian Kiyine,MAR,Venezia,24.0,1239,0.07,1,0,710,16,8
Imran Louza,MAR,Watford,23.0,1416,0.0,0,0,898,48,6
Kévin Malcuit,MAR,Napoli,30.0,288,0.31,0,1,195,5,3
Adam Masina,MAR,Watford,28.0,1077,0.08,0,1,667,31,0
Azzedine Ounahi,MAR,Angers,22.0,1633,0.16999999999999998,2,1,1165,36,2
Yacine Qasmi,MAR,Rayo Vallecano,31.0,4,0.0,0,0,0,0,0
Romain Saïss,MAR,Wolves,32.0,2705,0.07,2,0,2107,81,6
Oussama Targhalline,MAR,Marseille,20.0,5,0.0,0,0,4,0,1
Hakim Ziyech,MAR,Chelsea,29.0,1319,0.47000000000000003,4,3,972,20,3
Nathan Aké,NED,Manchester City,27.0,923,0.19,2,0,932,18,0
Mitchel Bakker,NED,Leverkusen,21.0,1822,0.2,0,4,1468,52,6
Donny van de Beek,NED,Manchester Utd,25.0,75,1.25,1,0,55,2,0
Donny van de Beek,NED,Everton,25.0,483,0.19,1,0,296,9,1
Mitchell van Bergen,NED,Reims,22.0,983,0.0,0,0,332,7,1
Steven Bergwijn,NED,Tottenham,24.0,565,0.64,3,1,273,4,1
Marco Bizot,NED,Brest,31.0,3420,0.03,0,1,1326,1,1
Myron Boadu,NED,Monaco,21.0,960,0.45999999999999996,4,1,295,2,0
Jean-Paul Boëtius,NED,Mainz 05,28.0,1800,0.2,2,2,1200,30,3
Solomon Bonnah,NED,RB Leipzig,18.0,6,0.0,0,0,5,1,0
Sven Botman,NED,Lille,22.0,2250,0.16,3,1,1752,38,4
Brian Brobbey,NED,RB Leipzig,20.0,131,1.33,0,2,54,0,0
Delano Burgzorg,NED,Mainz 05,23.0,27,3.33,1,0,13,0,0
Jasper Cillessen,NED,Valencia,33.0,1457,0.06,0,1,484,0,1
